scorer,KPN,KPN,KPN,KPN,KPN,KPN,KPN,KPN,KPN,KPN,KPN,KPN,KPN,KPN,KPN,KPN,KPN,KPN
labeled-data\AG6871_1_20210510_100fps_eRAMP_R\img0385.png,400.9131114394588,280.6783186873007,333.33398398009183,294.1941441791741,,,595.0495139590951,304.0238354459911,549.5871918500663,249.9605334784975,425.48733960650145,181.15269461077844,325.9617155299791,208.1843455945252,269.44099074578116,273.30605023718795,415.65764833968433,419.52270783109105
labeled-data\AG6871_1_20210510_100fps_eRAMP_R\img0706.png,,,266.9835679290769,425.6662648728517,251.01031962049922,381.43265417217515,548.3584804417142,254.87537911190606,505.3535811493897,203.2694999611167,349.3072322886695,172.5517147523135,276.8132591958939,237.67341939497624,226.4360914534567,291.73672136246984,418.1150711563887,419.52270783109105
labeled-data\AG6871_1_20210510_100fps_eRAMP_R\img1109.png,420.57249397309295,273.30605023718795,258.3825880706121,460.07018430671127,235.03707131192164,417.0652850143868,576.6188428338131,243.81697643673687,540.9862119916014,215.55661404463797,394.76955439769824,181.15269461077844,294.0152189128237,246.27439925344112,221.5212458200482,304.0238354459911,418.1150711563887,425.6662648728517
labeled-data\AG6871_1_20210510_100fps_eRAMP_R\img1256.png,493.06646706586844,291.73672136246984,257.1538766622599,377.74651994711877,223.97866863675245,348.2574461466677,577.8475542421653,269.61991601213157,539.7575005832493,227.84372812815923,409.51409129792376,176.23784897736994,292.7865075044716,229.07243953651135,219.06382300334394,286.82187572906133,415.65764833968444,423.20884205614743
labeled-data\AG6871_1_20210510_100fps_eRAMP_R\img1374.png,472.17837312388224,275.7634730538922,357.90821214713435,449.01178163154214,302.6161987712886,434.26724473131657,,,531.1565207247844,213.09919122793372,376.3388832724163,208.1843455945252,280.49939342095035,304.0238354459911,242.4093397620344,388.8049226222879,416.8863597480365,420.7514192394432
labeled-data\AG6871_1_20210510_100fps_eRAMP_R\img1429.png,507.81100396609395,245.045687845089,371.4240376390078,297.88027840423047,330.8765611633876,327.36935220468155,,,494.2951784742205,193.4398086942997,393.54084298934606,168.86558052725718,295.24393032117587,230.30115094486348,255.92516525390772,350.71486896337194,414.42893693133226,424.43755346449956
labeled-data\AG6871_1_20210510_100fps_eRAMP_R\img1553.png,453.7477019986003,259.79022474531456,262.0687222956684,469.8998755735283,235.03707131192164,429.35239909790806,545.9010576250099,233.98728516991986,518.8694066412631,206.95563418617303,382.482440314177,182.3814060191305,271.8984135624854,253.64666770355393,201.86186328641418,331.0554864297379,414.42893693133226,421.9801306477953
labeled-data\AG6871_1_20210510_100fps_eRAMP_R\img1982.png,344.392386655261,283.13574150400495,255.92516525390772,412.1504393809783,223.97866863675245,385.1187883972315,534.8426549498408,247.50311066179324,466.03481608212167,229.07243953651135,340.7062524302046,194.66852010265177,238.72320553697796,270.8486274204837,208.00542032817475,332.28419783809005,413.2002255229801,419.52270783109105
labeled-data\AG6871_1_20210510_100fps_eRAMP_R\img2101.png,463.5773932654174,272.0773388288358,286.6429504627109,334.7416206547943,254.69645384555565,318.76837234621667,555.7307488918269,248.73182207014537,517.640695232911,216.7853254529901,387.3972859475855,177.466560385722,296.47264172952794,230.30115094486348,241.1806283536822,289.2792985457656,415.65764833968444,420.7514192394432
labeled-data\AG6871_1_20210510_100fps_eRAMP_R\img2242.png,434.0883194649663,246.27439925344112,368.96661482230354,275.7634730538922,317.36073567151413,297.88027840423047,,,488.15162143245993,188.5249630608912,380.02501749747273,155.34975503538374,265.75485652072484,227.84372812815923,242.4093397620344,326.1406407963294,411.971514114628,420.7514192394432
labeled-data\AG6871_1_20210510_100fps_eRAMP_R\img2286.png,486.92291002410775,279.4496072789486,291.55779609611943,328.5980636130337,242.4093397620344,329.8267750213858,,,537.3000777665451,210.64176841122946,407.0566684812195,175.00913756901775,297.7013531378801,222.92888249475072,214.14897736993544,299.1089898125826,416.8863597480365,420.7514192394432
labeled-data\AG6871_1_20210510_100fps_eRAMP_R\img2453.png,467.26352749047373,262.2476475620188,254.69645384555565,425.6662648728517,214.14897736993544,392.4910568473443,520.0981180496152,230.30115094486348,493.06646706586844,211.8704798195816,354.22207792207803,188.5249630608912,255.92516525390772,261.0189361536667,179.74505793607585,319.9970837545688,413.2002255229801,420.7514192394432
labeled-data\AG6871_1_20210510_100fps_eRAMP_R\img2610.png,,,318.5894470798663,517.8196204992612,270.66970215413335,483.41570106540166,510.2684267827982,220.47145967804647,463.5773932654174,197.12594291935602,323.5042927132748,220.47145967804647,228.89351427016095,327.36935220468155,244.86676257873864,457.612761490007,415.65764833968444,419.52270783109105
labeled-data\AG6871_1_20210510_100fps_eRAMP_R\img2693.png,,,,,360.3656349638386,509.21864064079637,400.9131114394588,209.41305700287728,332.10527257173965,236.4447079866241,222.74995722840038,370.37425149700596,264.52614511237266,482.18698965704954,298.9300645462323,538.7077144412474,416.8863597480365,425.6662648728517
labeled-data\AG6871_1_20210510_100fps_eRAMP_R\img2742.png,,,,,,,292.7865075044716,312.624815304456,233.80835990356945,415.8365736060347,280.49939342095035,515.3621976825569,350.5359436970216,581.7126137335719,,,418.1150711563887,421.9801306477953
labeled-data\AG6871_1_20210510_100fps_eRAMP_R\img2766.png,,,,,,,289.1003732794152,340.88517769655493,246.0954739870907,447.78307022319,286.64295046271104,549.7661171164166,337.02011820514815,597.6858620421494,,,413.2002255229801,423.20884205614743
labeled-data\AG6871_1_20210510_100fps_eRAMP_R\img3077.png,,,,,,,,,,,,,,,,,415.65764833968444,423.20884205614743
labeled-data\AG6871_1_20210510_100fps_eRAMP_R\img3228.png,,,,,,,,,,,,,,,,,416.8863597480365,418.2939964227389
labeled-data\AG6982_3_20210522_100fps_aRAMP_L\img0097.png,,,377.56759468076837,291.73672136246984,350.5359436970216,288.05058713741346,451.29027918189604,450.24049303989426,480.7793529823472,278.22089587059645,405.8279570728673,155.34975503538374,296.47264172952794,187.296251652539,236.2657827202737,225.38630531145498,,
labeled-data\AG6982_3_20210522_100fps_aRAMP_L\img0496.png,564.3317287502919,310.1673924877517,415.65764833968444,278.22089587059645,366.5091920055993,258.56151333696243,612.2514736760248,338.4277548798507,603.6504938175599,242.58826502838474,521.3268294579674,157.807177852088,420.57249397309295,184.83882883583476,341.93496383855677,248.73182207014537,450.06156777354397,423.20884205614743
labeled-data\AG6982_3_20210522_100fps_aRAMP_L\img0556.png,583.9911112839259,333.5129092464422,446.37543354848754,278.22089587059645,404.59924566451525,272.0773388288358,615.9376079010813,394.94847966404853,620.8524535344898,301.56641262928684,544.6723462166578,198.3546543277082,442.6892993234312,200.81207714441246,339.4775410218525,242.58826502838474,448.8328563651918,419.52270783109105
labeled-data\AG6982_3_20210522_100fps_aRAMP_L\img0664.png,,,462.34868185706523,304.0238354459911,418.1150711563887,280.6783186873007,,,588.9059569173344,259.79022474531456,496.7526012909249,172.5517147523135,397.2269772144025,219.24274826969435,345.6210980636131,259.79022474531456,448.8328563651918,423.20884205614743
labeled-data\AG6982_3_20210522_100fps_aRAMP_L\img0847.png,515.1832724162067,267.1624931954273,380.02501749747273,275.7634730538922,325.9617155299791,281.90703009565283,623.309876351194,267.1624931954273,544.6723462166578,189.75367446924326,429.17347383155777,146.7487751769188,360.3656349638386,203.2694999611167,306.30233299634506,284.3644529123571,446.37543354848754,424.43755346449956
labeled-data\AG6982_3_20210522_100fps_aRAMP_L\img1018.png,505.3535811493897,252.4179562952018,472.17837312388224,292.96543277082196,414.42893693133226,281.90703009565283,576.6188428338131,265.9337817870752,556.9594603001791,198.3546543277082,457.4338362236567,151.6636208103273,382.482440314177,221.7001710863986,319.8181584882184,292.96543277082196,446.37543354848754,421.9801306477953
labeled-data\AG6982_3_20210522_100fps_aRAMP_L\img1185.png,515.1832724162067,254.87537911190606,373.88146045571204,272.0773388288358,319.8181584882184,257.3328019286103,602.4217824092078,284.3644529123571,565.5604401586439,205.72692277782096,464.8061046737695,149.20619799362305,373.88146045571204,179.92398320242626,294.0152189128237,252.4179562952018,448.8328563651918,423.20884205614743
labeled-data\AG6982_3_20210522_100fps_aRAMP_L\img1223.png,489.380332840812,235.21599657827198,360.3656349638386,294.1941441791741,322.27558130492264,318.76837234621667,536.0713663581929,246.27439925344112,457.4338362236567,179.92398320242626,337.02011820514815,186.06754024418694,290.32908468776736,274.5347616455401,270.66970215413335,353.1722917800762,450.06156777354397,421.9801306477953
labeled-data\AG6982_3_20210522_100fps_aRAMP_L\img1312.png,533.6139435414887,278.22089587059645,359.13692355548653,297.88027840423047,307.5310444046971,273.30605023718795,588.9059569173344,284.3644529123571,554.5020374834749,203.2694999611167,439.0031650983748,159.03588926044017,349.3072322886695,216.7853254529901,298.9300645462323,285.5931643207092,451.29027918189604,421.9801306477953
labeled-data\AG6982_3_20210522_100fps_aRAMP_L\img1425.png,,,312.44589003810563,327.36935220468155,280.49939342095035,304.0238354459911,593.8208025507429,283.13574150400495,550.8159032584184,200.81207714441246,421.801205381445,160.26460066879224,321.04686989657057,213.09919122793372,257.1538766622599,295.4228555875262,450.06156777354397,426.8949762812038
labeled-data\AG6982_3_20210522_100fps_aRAMP_L\img1574.png,539.7575005832493,267.1624931954273,432.8596080566142,273.30605023718795,376.3388832724163,249.9605334784975,588.9059569173345,331.0554864297379,586.4485341006301,246.27439925344112,500.4387355159812,173.78042616066568,382.482440314177,183.6101174274827,311.21717862975356,222.92888249475072,450.06156777354397,421.9801306477953
labeled-data\AG6982_3_20210522_100fps_aRAMP_L\img1791.png,,,279.2706820125982,377.74651994711877,258.3825880706121,338.4277548798507,569.2465743837004,279.4496072789486,507.81100396609395,192.21109728594752,381.2537289058248,173.78042616066568,290.32908468776736,232.75857376156773,236.2657827202737,301.56641262928684,448.8328563651918,425.6662648728517
labeled-data\AG6982_3_20210522_100fps_aRAMP_L\img1867.png,,,345.6210980636131,302.79512403763897,302.6161987712886,305.2525468543432,598.7356481841514,312.624815304456,539.7575005832493,227.84372812815923,423.0299167897972,171.32300334396143,322.27558130492264,220.47145967804647,290.32908468776736,294.1941441791741,445.14672214013547,420.7514192394432
labeled-data\AG6982_3_20210522_100fps_aRAMP_L\img2379.png,500.4387355159812,245.045687845089,303.8449101796408,327.36935220468155,276.8132591958939,294.1941441791741,595.0495139590951,257.3328019286103,537.3000777665451,197.12594291935602,411.971514114628,140.60521813515822,334.5626953884439,179.92398320242626,247.3241853954429,252.4179562952018,450.06156777354397,424.43755346449956
labeled-data\AG6982_3_20210522_100fps_aRAMP_L\img2807.png,349.3072322886695,273.30605023718795,328.4191383466833,294.1941441791741,311.21717862975356,321.2257951629209,536.0713663581929,240.1308422116805,445.14672214013547,192.21109728594752,350.5359436970216,183.6101174274827,278.0419706042461,261.0189361536667,,,448.8328563651918,421.9801306477953
labeled-data\AG6982_3_20210522_100fps_aRAMP_L\img2834.png,467.26352749047373,252.4179562952018,,,,,575.390131425461,262.2476475620188,484.4654872074035,194.66852010265177,376.3388832724163,181.15269461077844,303.8449101796408,238.90213080332836,291.55779609611943,324.9119293879773,447.6041449568397,424.43755346449956
labeled-data\AG6982_3_20210522_100fps_aRAMP_L\img3037.png,,,388.62599735593756,279.4496072789486,332.10527257173965,290.5080099541177,575.390131425461,280.6783186873007,536.0713663581929,206.95563418617303,420.57249397309295,165.17944630220074,317.36073567151413,215.55661404463797,269.44099074578116,296.65156699587834,448.8328563651918,420.7514192394432
labeled-data\AG6982_3_20210522_100fps_aRAMP_L\img3419.png,,,,,,,603.6504938175599,350.71486896337194,558.1881717085312,285.5931643207092,468.4922388988259,222.92888249475072,350.5359436970216,248.73182207014537,300.15877595458437,296.65156699587834,447.6041449568397,425.6662648728517
labeled-data\AG6982_3_20210522_100fps_aRAMP_L\img3618.png,,,,,,,,,,,,,,,329.6478497550354,251.18924488684968,448.8328563651918,425.6662648728517
labeled-data\AG6982_3_20210522_100fps_aRAMP_L\img3756.png,,,,,,,,,,,,,,,325.9617155299791,226.6150167198071,448.8328563651918,425.6662648728517
labeled-data\AG6982_3_20210522_100fps_aRAMP_R\img0015.png,429.17347383155777,263.47635897037094,337.02011820514815,257.3328019286103,330.8765611633876,251.18924488684968,,,479.550641573995,193.4398086942997,394.76955439769824,128.31810405163696,327.19042693833114,181.15269461077844,275.58454778754185,192.21109728594752,418.1150711563887,423.20884205614743
labeled-data\AG6982_3_20210522_100fps_aRAMP_R\img0094.png,429.17347383155777,253.64666770355393,340.7062524302046,259.79022474531456,,,,,474.6357959405865,197.12594291935602,391.0834201726418,143.06264095186248,302.6161987712886,188.5249630608912,230.12222567851313,216.7853254529901,414.42893693133226,425.6662648728517
labeled-data\AG6982_3_20210522_100fps_aRAMP_R\img0771.png,440.23187650672696,265.9337817870752,276.8132591958939,349.4861575550198,276.8132591958939,308.9386810793996,575.390131425461,369.14554008865383,563.1030173419397,291.73672136246984,461.11997044871316,200.81207714441246,344.392386655261,215.55661404463797,268.2122793374291,247.50311066179324,418.1150711563887,421.9801306477953
labeled-data\AG6982_3_20210522_100fps_aRAMP_R\img1191.png,346.8498094719653,279.4496072789486,291.55779609611943,378.9752313554709,253.46774243720347,366.6881172719496,533.6139435414887,252.4179562952018,457.4338362236567,197.12594291935602,344.392386655261,186.06754024418694,246.0954739870907,265.9337817870752,225.20738004510463,351.94358037172407,410.7428027062758,418.2939964227389
labeled-data\AG6982_3_20210522_100fps_aRAMP_R\img1660.png,313.6746014464578,315.0822381211603,249.78160821214715,417.0652850143868,236.2657827202737,382.6613655805273,504.1248697410376,241.3595536200326,432.8596080566142,215.55661404463797,294.0152189128237,210.64176841122946,233.80835990356945,296.65156699587834,,,415.65764833968444,426.8949762812038
labeled-data\AG6982_3_20210522_100fps_aRAMP_R\img2025.png,410.7428027062758,273.30605023718795,268.2122793374291,342.11388910490706,274.35583637918967,291.73672136246984,561.8743059335876,340.88517769655493,539.7575005832493,258.56151333696243,453.7477019986003,170.09429193560925,356.6795007387823,176.23784897736994,,,416.8863597480365,421.9801306477953
labeled-data\AG6982_3_20210522_100fps_aRAMP_R\img2631.png,479.550641573995,283.13574150400495,264.52614511237266,350.71486896337194,241.1806283536822,315.0822381211603,556.9594603001791,301.56641262928684,499.2100241076291,225.38630531145498,403.37053425616307,170.09429193560925,305.0736215879929,222.92888249475072,,,414.42893693133226,425.6662648728517
labeled-data\AG6982_3_20210522_100fps_aRAMP_R\img3051.png,356.6795007387823,265.9337817870752,322.27558130492264,292.96543277082196,294.0152189128237,284.3644529123571,504.1248697410376,258.56151333696243,450.06156777354397,202.04078855276452,360.3656349638386,149.20619799362305,278.0419706042461,204.49821136946878,233.80835990356945,256.1040905202582,414.42893693133226,428.12368768955594
labeled-data\AG6982_3_20210522_100fps_aRAMP_R\img3366.png,368.96661482230354,275.7634730538922,289.1003732794152,392.4910568473443,233.80835990356945,371.6029629053581,536.0713663581929,268.39120460377944,467.26352749047373,213.09919122793372,327.19042693833114,189.75367446924326,238.72320553697796,264.70507037872306,194.48959483630142,337.19904347149856,416.8863597480365,424.43755346449956
labeled-data\AG6982_3_20210522_100fps_aRAMP_R\img3641.png,457.4338362236567,281.90703009565283,305.0736215879929,340.88517769655493,281.7281048293024,285.5931643207092,580.3049770588696,310.1673924877517,518.8694066412631,222.92888249475072,423.0299167897972,144.29135236021455,329.6478497550354,194.66852010265177,274.35583637918967,254.87537911190606,414.42893693133226,419.52270783109105
labeled-data\AG6982_3_20210522_100fps_aRAMP_R\img3954.png,511.4971381911504,299.1089898125826,285.41423905435886,332.28419783809005,265.75485652072484,294.1941441791741,579.0762656505174,306.48125826269535,518.8694066412631,225.38630531145498,407.0566684812195,167.636869118905,294.0152189128237,216.7853254529901,237.4944941286259,243.81697643673687,414.42893693133226,423.20884205614743
labeled-data\AG6982_3_20210522_100fps_aRAMP_R\img4059.png,468.4922388988259,276.9921844622443,317.36073567151413,307.7099696710475,287.8716618710631,302.79512403763897,533.6139435414887,274.5347616455401,489.380332840812,213.09919122793372,393.54084298934606,151.6636208103273,291.55779609611943,209.41305700287728,266.9835679290769,290.5080099541177,415.65764833968444,423.20884205614743
labeled-data\AG6982_3_20210522_100fps_aRAMP_R\img4374.png,431.630896648262,258.56151333696243,285.41423905435886,408.4643051559219,243.63805117038646,403.5494595225134,496.7526012909249,257.3328019286103,424.25862819814927,224.15759390310285,286.6429504627109,227.84372812815923,216.6064001866397,337.19904347149856,227.66480286180888,406.00688233921767,414.42893693133226,421.9801306477953
labeled-data\AG6982_3_20210522_100fps_aRAMP_R\img4519.png,361.5943463721908,429.35239909790806,,,,,279.2706820125982,343.3426005132592,248.55289680379497,476.0434326152889,325.9617155299791,568.1967882416984,,,,,413.2002255229801,423.20884205614743
labeled-data\AG6982_3_20210522_100fps_aRAMP_R\img4619.png,,,,,351.7646551053738,607.5155533089666,590.1346683256866,417.0652850143868,512.7258495995025,380.203942763823,343.16367524690884,398.6346138891049,284.1855276460067,525.1918889493741,,,,
labeled-data\AG6982_3_20210522_100fps_aRAMP_R\img4706.png,,,386.1685745392333,476.0434326152889,329.6478497550354,457.612761490007,599.9643595925036,463.75631853176765,559.4168831168834,412.1504393809783,427.9447624232057,324.9119293879773,306.30233299634506,339.6564662882028,199.40444046970993,355.62971459678045,,
labeled-data\AG6982_3_20210522_100fps_aRAMP_R\img4810.png,,,,,334.5626953884439,506.7612178240921,,,,,459.891259040361,397.4059024807528,333.33398398009183,375.28909713041446,259.61129947896416,349.4861575550198,,
labeled-data\AG6982_3_20210522_100fps_aRAMP_R\img4906.png,,,,,337.02011820514815,509.21864064079637,,,528.6990979080801,532.5641573994867,466.03481608212167,431.8098219146123,360.3656349638386,383.8900769888794,254.69645384555565,355.62971459678045,,
labeled-data\AG6982_3_20210522_100fps_aRAMP_R\img5085.png,,,430.40218523990995,376.51780853876664,371.4240376390078,380.203942763823,,,538.5287891748972,520.2770433159656,497.98131269927694,429.35239909790806,408.2853798895716,338.4277548798507,295.24393032117587,304.0238354459911,,
labeled-data\AG6982_3_20210522_100fps_aRAMP_R\img5206.png,,,434.0883194649663,458.84147289835914,364.05176918889504,471.1285869818804,,,491.83775565751625,226.6150167198071,388.62599735593756,300.3377012209347,298.9300645462323,363.0019830468932,198.17572906135774,451.4692044482464,,
labeled-data\AG6982_3_20210522_100fps_bRAMP_L\img0241.png,,,,,,,,,556.9594603001791,165.17944630220074,464.8061046737695,144.29135236021455,409.51409129792376,230.30115094486348,381.2537289058248,349.4861575550198,447.6041449568397,421.9801306477953
labeled-data\AG6982_3_20210522_100fps_bRAMP_L\img0359.png,474.6357959405865,261.0189361536667,403.37053425616307,295.4228555875262,,,534.8426549498408,224.15759390310285,479.550641573995,182.3814060191305,343.16367524690884,187.296251652539,302.6161987712886,279.4496072789486,322.27558130492264,406.00688233921767,447.6041449568397,425.6662648728517
labeled-data\AG6982_3_20210522_100fps_bRAMP_L\img0439.png,452.5189905902482,259.79022474531456,311.21717862975356,319.9970837545688,266.9835679290769,322.45450657127304,561.8743059335876,238.90213080332836,484.4654872074035,170.09429193560925,366.5091920055993,163.95073489384868,279.2706820125982,224.15759390310285,222.74995722840038,296.65156699587834,451.29027918189604,428.12368768955594
labeled-data\AG6982_3_20210522_100fps_bRAMP_L\img0601.png,450.06156777354397,247.50311066179324,356.6795007387823,302.79512403763897,297.7013531378801,310.1673924877517,528.6990979080801,233.98728516991986,469.720950307178,162.7220234854965,370.1953262306556,152.89233221867948,321.04686989657057,231.5298623532156,275.58454778754185,323.68321797962517,452.5189905902482,425.6662648728517
labeled-data\AG6982_3_20210522_100fps_bRAMP_L\img0692.png,474.6357959405865,257.3328019286103,303.8449101796408,365.45940586359745,260.84001088731634,387.5762112139358,570.4752857920524,249.9605334784975,464.8061046737695,198.3546543277082,341.93496383855677,208.1843455945252,268.2122793374291,291.73672136246984,249.78160821214715,391.26234543899216,448.8328563651918,423.20884205614743
labeled-data\AG6982_3_20210522_100fps_bRAMP_L\img0963.png,,,420.57249397309295,283.13574150400495,360.3656349638386,291.73672136246984,550.8159032584184,238.90213080332836,521.3268294579674,176.23784897736994,424.25862819814927,151.6636208103273,350.5359436970216,219.24274826969435,284.1855276460067,295.4228555875262,450.06156777354397,423.20884205614743
labeled-data\AG6982_3_20210522_100fps_bRAMP_L\img1246.png,486.92291002410775,242.58826502838474,319.8181584882184,327.36935220468155,273.1271249708376,316.3109495295124,558.1881717085312,246.27439925344112,523.7842522746716,181.15269461077844,395.9982658060503,155.34975503538374,305.0736215879929,229.07243953651135,260.84001088731634,310.1673924877517,446.37543354848754,420.7514192394432
labeled-data\AG6982_3_20210522_100fps_bRAMP_L\img1255.png,,,478.3219301656429,259.79022474531456,427.9447624232057,254.87537911190606,596.2782253674471,243.81697643673687,549.5871918500663,186.06754024418694,461.11997044871316,145.52006376856673,371.4240376390078,187.296251652539,324.7330041216269,256.1040905202582,448.8328563651918,426.8949762812038
labeled-data\AG6982_3_20210522_100fps_bRAMP_L\img1502.png,518.8694066412631,268.39120460377944,286.6429504627109,387.5762112139358,243.63805117038646,365.45940586359745,603.6504938175599,275.7634730538922,543.4436348083057,198.3546543277082,400.9131114394588,170.09429193560925,271.8984135624854,257.3328019286103,232.57964849521738,316.3109495295124,445.14672214013547,424.43755346449956
labeled-data\AG6982_3_20210522_100fps_bRAMP_L\img1616.png,477.09321875729074,247.50311066179324,424.25862819814927,269.61991601213157,368.96661482230354,276.9921844622443,577.8475542421653,262.2476475620188,536.0713663581929,187.296251652539,415.65764833968444,149.20619799362305,335.7914067967961,216.7853254529901,292.7865075044716,292.96543277082196,451.29027918189604,423.20884205614743
labeled-data\AG6982_3_20210522_100fps_bRAMP_L\img1991.png,,,464.8061046737695,262.2476475620188,409.51409129792376,257.3328019286103,598.7356481841514,319.9970837545688,592.5920911423908,238.90213080332836,485.6941986157557,152.89233221867948,386.1685745392333,197.12594291935602,322.27558130492264,256.1040905202582,448.8328563651918,420.7514192394432
labeled-data\AG6982_3_20210522_100fps_bRAMP_L\img2119.png,522.5555408663195,264.70507037872306,329.6478497550354,308.9386810793996,300.15877595458437,279.4496072789486,619.6237421261376,364.2306944552453,593.8208025507429,254.87537911190606,457.4338362236567,176.23784897736994,348.07852088031734,197.12594291935602,268.2122793374291,216.7853254529901,452.5189905902482,424.43755346449956
labeled-data\AG6982_3_20210522_100fps_bRAMP_L\img2295.png,512.7258495995025,270.8486274204837,351.7646551053738,270.8486274204837,311.21717862975356,238.90213080332836,622.0811649428418,311.39610389610385,587.6772455089823,229.07243953651135,473.4070845322344,144.29135236021455,375.1101718640641,166.40815771055293,295.24393032117587,232.75857376156773,446.37543354848754,420.7514192394432
labeled-data\AG6982_3_20210522_100fps_bRAMP_L\img2358.png,502.89615833268545,265.9337817870752,286.6429504627109,382.6613655805273,268.2122793374291,350.71486896337194,598.7356481841514,321.2257951629209,552.0446146667706,236.4447079866241,414.42893693133226,189.75367446924326,303.8449101796408,227.84372812815923,235.03707131192164,288.05058713741346,448.8328563651918,424.43755346449956
labeled-data\AG6982_3_20210522_100fps_bRAMP_L\img2673.png,,,425.48733960650145,269.61991601213157,372.65274904735986,267.1624931954273,615.9376079010813,316.3109495295124,575.390131425461,231.5298623532156,458.6625476320089,151.6636208103273,352.99336651372585,186.06754024418694,291.55779609611943,240.1308422116805,448.8328563651918,420.7514192394432
labeled-data\AG6982_3_20210522_100fps_bRAMP_L\img2681.png,561.8743059335876,300.3377012209347,386.1685745392333,280.6783186873007,337.02011820514815,264.70507037872306,611.0227622676726,312.624815304456,575.390131425461,218.01403686134222,448.8328563651918,151.6636208103273,360.3656349638386,189.75367446924326,291.55779609611943,232.75857376156773,447.6041449568397,420.7514192394432
labeled-data\AG6982_3_20210522_100fps_bRAMP_L\img3099.png,349.3072322886695,279.4496072789486,278.0419706042461,381.43265417217515,268.2122793374291,414.60786219768255,486.92291002410775,225.38630531145498,386.1685745392333,190.98238587759545,285.41423905435886,274.5347616455401,266.9835679290769,350.71486896337194,291.55779609611943,451.4692044482464,450.06156777354397,424.43755346449956
labeled-data\AG6982_3_20210522_100fps_bRAMP_L\img3193.png,,,,,,,306.30233299634506,344.5713119216113,311.21717862975356,455.15533867330277,,,,,,,448.8328563651918,424.43755346449956
labeled-data\AG6982_3_20210522_100fps_bRAMP_L\img3274.png,,,,,,,,,,,,,,,,,450.06156777354397,429.35239909790806
labeled-data\AG6982_3_20210522_100fps_bRAMP_L\img3401.png,,,,,,,,,,,,,,,,,446.37543354848754,424.43755346449956
labeled-data\AG6982_3_20210522_100fps_bRAMP_R\img0078.png,391.0834201726418,249.9605334784975,341.93496383855677,252.4179562952018,,,559.4168831168834,249.9605334784975,501.6674469243334,200.81207714441246,402.141822847811,119.71712419317203,343.16367524690884,170.09429193560925,,,411.971514114628,420.7514192394432
labeled-data\AG6982_3_20210522_100fps_bRAMP_R\img0533.png,324.7330041216269,289.2792985457656,,,271.8984135624854,376.51780853876664,490.6090442491642,237.67341939497624,394.76955439769824,208.1843455945252,300.15877595458437,208.1843455945252,233.80835990356945,275.7634730538922,,,416.8863597480365,420.7514192394432
labeled-data\AG6982_3_20210522_100fps_bRAMP_R\img0786.png,382.482440314177,279.4496072789486,301.38748736293655,319.9970837545688,289.1003732794152,305.2525468543432,484.4654872074035,254.87537911190606,430.40218523990995,187.296251652539,324.7330041216269,156.57846644373592,287.8716618710631,231.5298623532156,265.75485652072484,286.82187572906133,414.42893693133226,423.20884205614743
labeled-data\AG6982_3_20210522_100fps_bRAMP_R\img1390.png,432.8596080566142,275.7634730538922,264.52614511237266,378.9752313554709,246.0954739870907,355.62971459678045,517.640695232911,252.4179562952018,425.48733960650145,203.2694999611167,306.30233299634506,200.81207714441246,241.1806283536822,273.30605023718795,232.57964849521738,347.02873473831556,414.42893693133226,419.52270783109105
labeled-data\AG6982_3_20210522_100fps_bRAMP_R\img1426.png,359.13692355548653,279.4496072789486,264.52614511237266,378.9752313554709,255.92516525390772,338.4277548798507,512.7258495995025,251.18924488684968,435.31703087331846,203.2694999611167,327.19042693833114,171.32300334396143,259.61129947896416,256.1040905202582,244.86676257873864,327.36935220468155,416.8863597480365,425.6662648728517
labeled-data\AG6982_3_20210522_100fps_bRAMP_R\img1636.png,419.34378256474076,278.22089587059645,318.5894470798663,327.36935220468155,281.7281048293024,305.2525468543432,549.5871918500663,279.4496072789486,511.4971381911504,225.38630531145498,403.37053425616307,166.40815771055293,311.21717862975356,219.24274826969435,265.75485652072484,292.96543277082196,416.8863597480365,421.9801306477953
labeled-data\AG6982_3_20210522_100fps_bRAMP_R\img2022.png,439.0031650983748,265.9337817870752,276.8132591958939,464.9850299401198,244.86676257873864,430.5811105062602,552.0446146667706,267.1624931954273,490.6090442491642,213.09919122793372,343.16367524690884,197.12594291935602,257.1538766622599,269.61991601213157,,,414.42893693133226,421.9801306477953
labeled-data\AG6982_3_20210522_100fps_bRAMP_R\img2609.png,389.85470876428974,278.22089587059645,328.4191383466833,328.5980636130337,286.6429504627109,327.36935220468155,561.8743059335876,302.79512403763897,510.2684267827982,232.75857376156773,388.62599735593756,186.06754024418694,292.7865075044716,237.67341939497624,239.95191694533014,315.0822381211603,416.8863597480365,423.20884205614743
labeled-data\AG6982_3_20210522_100fps_bRAMP_R\img2670.png,435.31703087331846,267.1624931954273,360.3656349638386,291.73672136246984,316.13202426316207,286.82187572906133,576.6188428338131,331.0554864297379,537.3000777665451,240.1308422116805,418.1150711563887,173.78042616066568,325.9617155299791,221.7001710863986,266.9835679290769,280.6783186873007,416.8863597480365,423.20884205614743
labeled-data\AG6982_3_20210522_100fps_bRAMP_R\img2716.png,525.0129636830237,322.45450657127304,356.6795007387823,301.56641262928684,311.21717862975356,270.8486274204837,576.6188428338131,385.1187883972315,571.7039972004046,306.48125826269535,494.2951784742205,205.72692277782096,388.62599735593756,194.66852010265177,278.0419706042461,235.21599657827198,416.8863597480365,430.5811105062602
